team,group,confederation,host_nation,world_cup_debut,eliminated_round,fifa_ranking
Mexico,A,CONCACAF,Yes,No,Round of 16,14
South Korea,A,AFC,No,No,Group Stage,25
Czechia,A,UEFA,No,No,Group Stage,40
South Africa,A,CAF,No,No,Group Stage,60
Canada,B,CONCACAF,Yes,No,Round of 16,30
Switzerland,B,UEFA,No,No,Quarterfinal,19
Bosnia and Herzegovina,B,UEFA,No,No,Round of 32,64
Qatar,B,AFC,No,No,Group Stage,56
Brazil,C,CONMEBOL,No,No,Round of 16,6
Morocco,C,CAF,No,No,Quarterfinal,7
Haiti,C,CONCACAF,No,No,Group Stage,83
Scotland,C,UEFA,No,No,Group Stage,42
United States,D,CONCACAF,Yes,No,Round of 16,17
Australia,D,AFC,No,No,Round of 32,27
Turkiye,D,UEFA,No,No,Group Stage,22
Paraguay,D,CONMEBOL,No,No,Round of 16,41
Germany,E,UEFA,No,No,Round of 32,10
Ivory Coast,E,CAF,No,No,Round of 32,33
Ecuador,E,CONMEBOL,No,No,Round of 32,23
Curacao,E,CONCACAF,No,Yes,Group Stage,82
Sweden,F,UEFA,No,No,Round of 32,38
Netherlands,F,UEFA,No,No,Round of 32,8
Japan,F,AFC,No,No,Round of 32,18
Tunisia,F,CAF,No,No,Group Stage,45
Belgium,G,UEFA,No,No,Quarterfinal,9
Egypt,G,CAF,No,No,Round of 16,29
Iran,G,AFC,No,No,Group Stage,20
New Zealand,G,OFC,No,No,Group Stage,85
Spain,H,UEFA,No,No,,2
Cape Verde,H,CAF,No,Yes,Round of 32,67
Saudi Arabia,H,AFC,No,No,Group Stage,61
Uruguay,H,CONMEBOL,No,No,Group Stage,16
France,I,UEFA,No,No,,3
Norway,I,UEFA,No,No,Quarterfinal,31
Senegal,I,CAF,No,No,Round of 32,15
Iraq,I,AFC,No,No,Group Stage,57
Argentina,J,CONMEBOL,No,No,,1
Austria,J,UEFA,No,No,Round of 32,24
Jordan,J,AFC,No,Yes,Group Stage,63
Algeria,J,CAF,No,No,Round of 32,28
Portugal,K,UEFA,No,No,Round of 16,5
Colombia,K,CONMEBOL,No,No,Round of 16,13
DR Congo,K,CAF,No,No,Round of 32,46
Uzbekistan,K,AFC,No,Yes,Group Stage,50
England,L,UEFA,No,No,,4
Ghana,L,CAF,No,No,Round of 32,73
Panama,L,CONCACAF,No,No,Group Stage,34
Croatia,L,UEFA,No,No,Round of 32,11
